               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.12314,0.054947,0.058488,0.0053898,0.020131,0.0021391,0.00038342,0.11447,0.042137,0.058264,5.00E-05,5.00E-05,0.09955
1,0.11321,0.060846,0.057023,0.0085535,0.026471,0.0039024,0.00074627,0.097497,0.043285,0.056816,0.00011,0.00011,0.09901
2,0.10275,0.065977,0.056018,0.018924,0.040376,0.0081397,0.0016204,0.080847,0.046418,0.05517,0.00017,0.00017,0.09847
3,0.097659,0.065433,0.054687,0.030177,0.071894,0.016544,0.0035109,0.070442,0.050948,0.0535,0.00023,0.00023,0.09793
4,0.089721,0.079054,0.052891,0.059984,0.11122,0.035642,0.008485,0.065501,0.052047,0.052046,0.00028999,0.00028999,0.09739
5,0.087662,0.071185,0.051333,0.081826,0.16687,0.05896,0.013606,0.061742,0.051254,0.050787,0.00034998,0.00034998,0.09685
6,0.079255,0.076697,0.050209,0.27012,0.19549,0.087295,0.021269,0.059686,0.047526,0.04952,0.00040997,0.00040997,0.09631
7,0.074321,0.071328,0.048229,0.079487,0.30488,0.11501,0.03151,0.055208,0.042756,0.048327,0.00046995,0.00046995,0.09577
8,0.068199,0.065212,0.047764,0.16137,0.64385,0.16087,0.049675,0.052114,0.041352,0.047607,0.00052992,0.00052992,0.09523
9,0.064465,0.062323,0.047238,0.18512,0.69798,0.15949,0.054962,0.048773,0.041559,0.047095,0.00058989,0.00058989,0.09469
10,0.06029,0.060395,0.045666,0.57762,0.35199,0.14307,0.043716,0.048011,0.040396,0.04674,0.00064986,0.00064986,0.09415
11,0.056316,0.048125,0.045483,0.58719,0.3761,0.16558,0.063539,0.043747,0.034696,0.046445,0.00070981,0.00070981,0.09361
12,0.054761,0.050409,0.045368,0.087326,0.64634,0.16536,0.060048,0.042977,0.032114,0.046062,0.00076975,0.00076975,0.09307
13,0.054234,0.04685,0.043721,0.59805,0.28035,0.19682,0.087637,0.043526,0.028347,0.04624,0.00082969,0.00082969,0.09253
14,0.055483,0.045746,0.044661,0.59541,0.43437,0.21953,0.10371,0.040323,0.025604,0.045751,0.00088961,0.00088961,0.09199
15,0.050215,0.043694,0.044139,0.10087,0.62625,0.1977,0.080786,0.03936,0.025236,0.045315,0.00094953,0.00094953,0.09145
16,0.051552,0.042615,0.043977,0.080726,0.66735,0.19711,0.085885,0.048015,0.024614,0.045134,0.0010094,0.0010094,0.090909
17,0.051414,0.039814,0.042241,0.11219,0.68459,0.22726,0.10931,0.036219,0.023145,0.045074,0.0010693,0.0010693,0.090369
18,0.049269,0.040581,0.042229,0.59198,0.35017,0.18974,0.082244,0.045366,0.02363,0.044587,0.0011292,0.0011292,0.089829
19,0.049195,0.041028,0.042685,0.62464,0.34596,0.23212,0.10087,0.038027,0.022729,0.044198,0.001189,0.001189,0.089289
20,0.049499,0.040635,0.042538,0.62263,0.37788,0.24255,0.1105,0.034877,0.022204,0.044083,0.0012489,0.0012489,0.088749
21,0.048557,0.03585,0.041698,0.61744,0.37602,0.23015,0.1066,0.03925,0.022242,0.043802,0.0013087,0.0013087,0.088209
22,0.048426,0.040358,0.041208,0.61152,0.3492,0.21062,0.079078,0.047639,0.022312,0.043663,0.0013685,0.0013685,0.087669
23,0.049806,0.040563,0.040456,0.661,0.39247,0.28278,0.14358,0.035137,0.02144,0.043702,0.0014283,0.0014283,0.087128
24,0.047976,0.040218,0.041577,0.68441,0.37847,0.30365,0.16233,0.032789,0.02089,0.043672,0.0014881,0.0014881,0.086588
